wreck_num,wreck_name,wdpa_gid,wdpa_name
696.0,Bay Jack,164292,Mid-Atlantic Coastal Waters Area
697.0,Donna's Star,164168,Waters off New Jersey
697.0,Donna's Star,164297,Southern Nearshore
697.0,Donna's Star,164292,Mid-Atlantic Coastal Waters Area
698.0,Margie Starns,164168,Waters off New Jersey
698.0,Margie Starns,164297,Southern Nearshore
698.0,Margie Starns,164292,Mid-Atlantic Coastal Waters Area
699.0,TI Fluke 06,164168,Waters off New Jersey
699.0,TI Fluke 06,164297,Southern Nearshore
699.0,TI Fluke 06,164292,Mid-Atlantic Coastal Waters Area
700.0,TI Fluke 07,164168,Waters off New Jersey
700.0,TI Fluke 07,164297,Southern Nearshore
700.0,TI Fluke 07,164292,Mid-Atlantic Coastal Waters Area
701.0,thebassbarn.com,164168,Waters off New Jersey
701.0,thebassbarn.com,164297,Southern Nearshore
701.0,thebassbarn.com,164292,Mid-Atlantic Coastal Waters Area
702.0,Capt. Walt Hendee,164168,Waters off New Jersey
702.0,Capt. Walt Hendee,164297,Southern Nearshore
702.0,Capt. Walt Hendee,164292,Mid-Atlantic Coastal Waters Area
703.0,Redbird Reef I,164168,Waters off New Jersey
703.0,Redbird Reef I,164297,Southern Nearshore
703.0,Redbird Reef I,164292,Mid-Atlantic Coastal Waters Area
704.0,Redbird Reef VII,164168,Waters off New Jersey
704.0,Redbird Reef VII,164297,Southern Nearshore
704.0,Redbird Reef VII,164292,Mid-Atlantic Coastal Waters Area
705.0,Redbird Reef VIII,164168,Waters off New Jersey
705.0,Redbird Reef VIII,164297,Southern Nearshore
705.0,Redbird Reef VIII,164292,Mid-Atlantic Coastal Waters Area
706.0,Redbird Reef IX,164168,Waters off New Jersey
706.0,Redbird Reef IX,164297,Southern Nearshore
706.0,Redbird Reef IX,164292,Mid-Atlantic Coastal Waters Area
707.0,Redbird Reef X,164168,Waters off New Jersey
707.0,Redbird Reef X,164297,Southern Nearshore
